sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
f,1984,1,2,7,5,8,10,3,-0.4,-0.33,,r
m,1984,1,1,1,1,1,1,1,-0.28,-0.15,63,r
m,1987,1,2,2,3,8,2,1,0.4,-0.73,32,r
m,1987,2,2,2,4,8,2,1,0.48,-0.93,32,r
m,1993,1,2,3,2,8,2,2,-0.1,-0.45,63,r
m,1975,1,1,4,4,8,2,1,0.18,-0.43,32,r
m,1983,1,2,6,7,1,1,1,-0.28,-0.45,,r
m,1992,,,5,,,,,0.28,-0.85,32,r
m,1991,1,1,6,5,1,2,1,-0.1,-0.38,14,r
m,1983,1,1,6,3,2,1,1,-0.03,-0.43,32,r
m,1975,1,1,7,5,1,2,2,0.28,-0.75,32,r
m,1979,1,2,7,6,8,6,1,0,-0.28,,r
m,1970,1,2,6,7,8,11,1,0.53,-0.53,0,r
m,1989,1,1,8,2,3,11,1,0,-0.55,26,r
m,1970,1,1,1,3,8,11,1,-0.13,-0.7,43,r
m,1975,1,2,10,4,1,2,1,0.05,-0.63,,r
m,,1,1,5,5,8,1,1,0.08,-0.88,,r
m,1965,1,1,7,7,3,3,1,-0.15,-0.4,32,r
m,1989,1,1,8,4,1,4,1,0.33,-0.33,63,r
m,1991,1,2,3,3,8,2,3,0.23,-0.4,32,r
m,1965,2,1,7,6,3,3,1,-0.08,-0.2,32,r
m,1994,1,2,9,1,8,11,2,-0.8,-0.65,32,r
m,1965,1,1,7,6,3,3,1,0.03,0.1,32,r
m,1983,1,1,3,7,8,2,1,0.03,-0.63,14,r
f,1977,1,1,10,5,1,2,1,-0.05,-0.38,32,r
m,1969,1,1,6,5,8,11,1,0.15,-0.6,12,r
m,1983,1,2,4,2,8,11,1,0.2,-0.35,0,r
m,1984,1,1,6,7,8,2,1,0.05,-0.45,63,r
m,1987,1,2,6,3,8,2,2,0.4,-0.08,32,r
f,1983,1,2,7,7,1,6,1,-0.3,-0.1,0,r
m,1983,1,2,2,5,8,11,2,-0.33,-0.63,,r
m,1995,3,2,9,,1,11,2,0.33,0.2,0,r
m,1992,1,2,7,5,8,11,1,0.28,-0.58,32,r
m,1979,2,1,6,6,1,1,3,-0.2,0.1,0,r
m,1989,1,2,3,5,8,11,2,-0.78,-0.8,32,r
m,1969,1,1,7,6,4,2,1,-0.1,-0.63,32,r
