sex,birth,family,education,job,rich,religion,voting,politics,x,y,location
Чоловіча,1992,Неодружений/незаміжня,Повна вища освіта,IT-сфера,3 000 - 6 000,Православ'я,Складно відповісти,Трохи цікавлюсь,-0.08,-0.25,Sumy
Чоловіча,1980,Неодружений/незаміжня,Повна вища освіта,IT-сфера,10 000 - 15 000,Православ'я,Самопоміч,Цікавлюсь,-0.23,-0.5,Kharkiv
Чоловіча,1981,Інше,Повна вища освіта,"Торгівля, транспорт і логістика",3 000 - 6 000,Інше,Інша партія,Трохи цікавлюсь,-0.05,-0.3,Lviv
Чоловіча,1986,Неодружений/незаміжня,Середня освіта,IT-сфера,15 000 - 25 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.38,-0.8,Kyiv
Чоловіча,1991,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Католицизм,Самопоміч,Дуже цікавлюсь,0.38,-0.1,Kyiv
Чоловіча,1980,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Православ'я,Я не голосував,Цікавлюсь,-0.08,-0.53,Kyiv
Жіноча,1991,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",3 000 - 6 000,Православ'я,Самопоміч,Трохи цікавлюсь,0.23,0,not_defined
Чоловіча,1985,У шлюбі,Повна вища освіта,IT-сфера,6 000 - 10 000,Православ'я,Я не голосував,Цікавлюсь,-0.15,-0.43,Rivne
Чоловіча,1991,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,-0.08,-0.45,Kyiv
Чоловіча,1991,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Православ'я,Я не голосував,Дуже цікавлюсь,0.23,-0.7,Kharkiv
Чоловіча,1993,Неодружений/незаміжня,Повна вища освіта,"Торгівля, транспорт і логістика",10 000 - 15 000,Православ'я,Я не голосував,Дуже цікавлюсь,-0.53,0.28,Lugansk
Чоловіча,1997,Неодружений/незаміжня,Середня освіта,Студент,< 3 000,Католицизм,Я не голосував,Цікавлюсь,0.25,-0.65,Kyiv
Чоловіча,1991,Неодружений/незаміжня,Повна вища освіта,Охорона здоров'я,6 000 - 10 000,Не маю релігійної приналежності,Самопоміч,Трохи цікавлюсь,0.18,-0.2,Kyiv
