index,name,actives,date,credits_all,deposits_all,income,owner,group.x,group.y,status,rating,groups,y
1,3/4,4734803,1072012,199820,161444,40519,"Вадим
 Іщенко (приписують вплив Юрія Колобова)",3,family,NA,65,6,1
2,3/4,732275,1012011,26815,9357,221,"Вадим Іщенко (приписують вплив 
Юрія Колобова)",4,family,NA,65,6,1
3,3/4,4287553.43,1012014,340009.92,1112022,16336,"Вадим Іщенко 
(приписують вплив Юрія Колобова)",3,family,NA,65,6,1
4,3/4,75100,1072009,0,0,2,"Вадим Іщенко (приписують вплив Юрія 
Колобова)",4,family,NA,65,6,1
5,3/4,75017,1012010,0,0,6,"Вадим Іщенко (приписують вплив Юрія 
Колобова)",4,family,NA,65,6,1
6,3/4,3399401,1012012,248964,127331,192286,"Вадим Іщенко (приписують
 вплив Юрія Колобова)",3,family,NA,65,6,1
7,3/4,5183363,1012013,344522,347525,4800,"Вадим Іщенко (приписують 
вплив Юрія Колобова)",2,family,NA,65,6,1
8,3/4,6447364,1072013,561500,399247,115106,"Вадим Іщенко (приписують
 вплив Юрія Колобова)",2,family,NA,65,6,1
9,3/4,3931696,1072011,130120,131408,277988,"Вадим Іщенко (приписують
 вплив Юрія Колобова)",4,family,NA,65,6,1
10,3/4,234426,1072010,3036,5627,20,"Вадим Іщенко (приписують вплив 
Юрія Колобова)",4,family,NA,65,6,1
11,3/4,3337121,1072014,385356,659296,-4922,"Вадим Іщенко (приписують
 вплив Юрія Колобова)",3,family,NA,65,6,1
12,CИГМАБАНК,523976,1012010,436848,322087,2417,NA,4,NA,NA,189,2,218
13,CИГМАБАНК,446879,1012011,284584,181112,869,NA,4,NA,NA,189,2,218
14,CИГМАБАНК,359679,1012009,312766,198620,2838,NA,4,NA,NA,189,2,218
15,CИГМАБАНК,463028,1072009,332050,228998,2762,NA,4,NA,NA,189,2,218
16,CИГМАБАНК,581502,1072010,467638,317100,768,NA,4,NA,NA,189,2,218
17,CИГМАБАНК,223198,1072011,255480,46097,78,NA,4,NA,NA,189,2,218
