year,country,gdp,%,countryu,gdpu,%_ukr
1992,Albania,2066.211,4.1,Ukraine,6136.614,14.1
1993,Albania,2329.818,4.1,Ukraine,5368.863,14.1
1994,Albania,2656.173,4.1,Ukraine,4269.102,14.1
1995,Albania,2949.167,4.1,Ukraine,3861.047,14.1
1996,Albania,3248.64,4.1,Ukraine,3577.554,14.1
1997,Albania,2964.635,4.1,Ukraine,3553.328,14.1
1998,Albania,3287.405,4.1,Ukraine,3557.193,14.1
1999,Albania,3812.416,4.1,Ukraine,3635.86,14.1
2000,Albania,4184.049,4.1,Ukraine,3975.704,14.1
2001,Albania,4662.758,4.1,Ukraine,4480.447,14.1
2002,Albania,4949.487,4.1,Ukraine,4834.009,14.1
2003,Albania,5357.95,4.1,Ukraine,5442.968,14.1
2004,Albania,5841.979,4.1,Ukraine,6297.662,14.1
2005,Albania,6410.75,4.1,Ukraine,6750.262,14.1
2006,Albania,7010.694,4.1,Ukraine,7530.139,14.1
2007,Albania,7680.078,4.1,Ukraine,8415.153,14.1
2008,Albania,8485.749,4.1,Ukraine,8816.413,14.1
2009,Albania,8896.741,4.1,Ukraine,7568.509,14.1
2010,Albania,9385.744,4.1,Ukraine,7712.059,14.1
2011,Albania,9851.203,4.1,Ukraine,8327.929,14.1
2012,Albania,10190.762,4.1,Ukraine,8516.684,14.1
2013,Albania,10485.118,4.1,Ukraine,9151.217,14.1
2014,Albania,10884.084,4.1,Ukraine,8242.064,14.1
2015,Albania,11300.824,4.1,Ukraine,7518.823,14.1
2016,Albania,11999.71688,4.1,Ukraine,8661.693253645,14.1
2017,Albania,12741.83238,4.1,Ukraine,9978.2811778173,14.1
2018,Albania,13529.84359,4.1,Ukraine,11494.9920700185,14.1
2019,Albania,14366.58889,4.1,Ukraine,13242.2448651315,14.1
2020,Albania,15255.08221,4.1,Ukraine,15255.0822131901,14.1
2021,Albania,16198.52389,4.1,Ukraine,16198.5238904995,14.1
2022,Albania,17200.31217,4.1,Ukraine,17200.3121690298,14.1
2023,Albania,18264.05546,4.1,Ukraine,18264.0554603616,14.1
2024,Albania,19393.58534,4.1,Ukraine,19393.5853361887,14.1
2025,Albania,20592.97033,4.1,Ukraine,20592.9703295254,14.1
2026,Albania,21866.53059,4.1,Ukraine,21866.5305894414,14.1
2027,Albania,23218.85344,4.1,Ukraine,23218.8534421104,14.1
2028,Albania,24654.80991,4.1,Ukraine,24654.8099142221,14.1
2029,Albania,26179.57228,4.1,Ukraine,26179.572278276,14.1
2030,Albania,27798.63268,4.1,Ukraine,27798.6326829525,14.1
2031,Albania,29517.82294,4.1,Ukraine,29517.8229356695,14.1
2032,Albania,31343.33551,4.1,Ukraine,31343.3355085793,14.1
2033,Albania,33281.74584,4.1,Ukraine,33281.7458436688,14.1
2034,Albania,35340.03604,4.1,Ukraine,35340.0360373059,14.1
2035,Albania,37525.61999,4.1,Ukraine,37525.6199895435,14.1
2036,Albania,39846.37011,4.1,Ukraine,39846.3701087661,14.1
2037,Albania,42310.64567,4.1,Ukraine,42310.6456678715,14.1
2038,Albania,44927.32291,4.1,Ukraine,44927.3229141224,14.1
2039,Albania,47705.82704,4.1,Ukraine,47705.8270411257,14.1
2040,Albania,50656.16614,4.1,Ukraine,50656.1661380988,14.1
1992,Bosnia and Herzegovina,n/a,4,Ukraine,6136.614,12
1993,Bosnia and Herzegovina,n/a,4,Ukraine,5368.863,12
1994,Bosnia and Herzegovina,n/a,4,Ukraine,4269.102,12
1995,Bosnia and Herzegovina,n/a,4,Ukraine,3861.047,12
1996,Bosnia and Herzegovina,3088.649,4,Ukraine,3577.554,12
1997,Bosnia and Herzegovina,3745.398,4,Ukraine,3553.328,12
1998,Bosnia and Herzegovina,4429.315,4,Ukraine,3557.193,12
1999,Bosnia and Herzegovina,4885.589,4,Ukraine,3635.86,12
2000,Bosnia and Herzegovina,5141.396,4,Ukraine,3975.704,12
2001,Bosnia and Herzegovina,5358.694,4,Ukraine,4480.447,12
2002,Bosnia and Herzegovina,5671.112,4,Ukraine,4834.009,12
2003,Bosnia and Herzegovina,5960.29,4,Ukraine,5442.968,12
2004,Bosnia and Herzegovina,6456.396,4,Ukraine,6297.662,12
2005,Bosnia and Herzegovina,6891.944,4,Ukraine,6750.262,12
2006,Bosnia and Herzegovina,7507.576,4,Ukraine,7530.139,12
2007,Bosnia and Herzegovina,8174.838,4,Ukraine,8415.153,12
2008,Bosnia and Herzegovina,8813.826,4,Ukraine,8816.413,12
2009,Bosnia and Herzegovina,8823.552,4,Ukraine,7568.509,12
2010,Bosnia and Herzegovina,9016.51,4,Ukraine,7712.059,12
2011,Bosnia and Herzegovina,9302.659,4,Ukraine,8327.929,12
2012,Bosnia and Herzegovina,9400.895,4,Ukraine,8516.684,12
2013,Bosnia and Herzegovina,9798.346,4,Ukraine,9151.217,12
2014,Bosnia and Herzegovina,10084.465,4,Ukraine,8242.064,12
2015,Bosnia and Herzegovina,10491.799,4,Ukraine,7518.823,12
2016,Bosnia and Herzegovina,11098.36919,4,Ukraine,8501.5690585909,12
2017,Bosnia and Herzegovina,11740.00746,4,Ukraine,9612.7647183595,12
2018,Bosnia and Herzegovina,12418.74125,4,Ukraine,10869.1989553576,12
2019,Bosnia and Herzegovina,13136.71519,4,Ukraine,12289.8551449524,12
