year,country,gdp,%,country_ukr,gdpu,%_ukr
1992,Albania,2066.211,4.1,Ukraine,6136.614,6.9
1993,Albania,2329.818,4.1,Ukraine,5368.863,6.9
1994,Albania,2656.173,4.1,Ukraine,4269.102,6.9
1995,Albania,2949.167,4.1,Ukraine,3861.047,6.9
1996,Albania,3248.64,4.1,Ukraine,3577.554,6.9
1997,Albania,2964.635,4.1,Ukraine,3553.328,6.9
1998,Albania,3287.405,4.1,Ukraine,3557.193,6.9
1999,Albania,3812.416,4.1,Ukraine,3635.86,6.9
2000,Albania,4184.049,4.1,Ukraine,3975.704,6.9
2001,Albania,4662.758,4.1,Ukraine,4480.447,6.9
2002,Albania,4949.487,4.1,Ukraine,4834.009,6.9
2003,Albania,5357.95,4.1,Ukraine,5442.968,6.9
2004,Albania,5841.979,4.1,Ukraine,6297.662,6.9
2005,Albania,6410.75,4.1,Ukraine,6750.262,6.9
2006,Albania,7010.694,4.1,Ukraine,7530.139,6.9
2007,Albania,7680.078,4.1,Ukraine,8415.153,6.9
2008,Albania,8485.749,4.1,Ukraine,8816.413,6.9
2009,Albania,8896.741,4.1,Ukraine,7568.509,6.9
2010,Albania,9385.744,4.1,Ukraine,7712.059,6.9
2011,Albania,9851.203,4.1,Ukraine,8327.929,6.9
2012,Albania,10190.762,4.1,Ukraine,8516.684,6.9
2013,Albania,10485.118,4.1,Ukraine,9151.217,6.9
2014,Albania,10884.084,4.1,Ukraine,8242.064,6.9
2015,Albania,11300.824,4.1,Ukraine,7518.823,6.9
2016,Albania,11999.71688,4.1,Ukraine,8115.011872,6.9
2017,Albania,12741.83238,4.1,Ukraine,8758.474256,6.9
2018,Albania,13529.84359,4.1,Ukraine,9452.958603,6.9
2019,Albania,14366.58889,4.1,Ukraine,10202.51059,6.9
2020,Albania,15255.08221,4.1,Ukraine,11011.49669,6.9
2021,Albania,16198.52389,4.1,Ukraine,11884.6296,6.9
2022,Albania,17200.31217,4.1,Ukraine,12826.9957,6.9
2023,Albania,18264.05546,4.1,Ukraine,13844.08469,6.9
2024,Albania,19393.58534,4.1,Ukraine,14941.82156,6.9
2025,Albania,20592.97033,4.1,Ukraine,16126.60111,6.9
2026,Albania,21866.53059,4.1,Ukraine,17405.3252,6.9
2027,Albania,23218.85344,4.1,Ukraine,18785.44296,6.9
2028,Albania,24654.80991,4.1,Ukraine,20274.99419,6.9
2029,Albania,26179.57228,4.1,Ukraine,21882.65618,6.9
2030,Albania,27798.63268,4.1,Ukraine,23617.79426,6.9
2031,Albania,29517.82294,4.1,Ukraine,25490.51637,6.9
2032,Albania,31343.33551,4.1,Ukraine,27511.73196,6.9
2033,Albania,33281.74584,4.1,Ukraine,29693.21547,6.9
2034,Albania,35340.03604,4.1,Ukraine,32047.67502,6.9
2035,Albania,37525.61999,4.1,Ukraine,34588.82637,6.9
2036,Albania,39846.37011,4.1,Ukraine,37331.47284,6.9
2037,Albania,42310.64567,4.1,Ukraine,40291.59156,6.9
2038,Albania,44927.32291,4.1,Ukraine,43486.42651,6.9
2039,Albania,47705.82704,4.1,Ukraine,46934.58901,6.9
2040,Albania,50656.16614,4.1,Ukraine,50656.16614,6.9
1992,Bosnia and Herzegovina,n/a,4,Ukraine,6136.614,6.2
1993,Bosnia and Herzegovina,n/a,4,Ukraine,5368.863,6.2
1994,Bosnia and Herzegovina,n/a,4,Ukraine,4269.102,6.2
1995,Bosnia and Herzegovina,n/a,4,Ukraine,3861.047,6.2
1996,Bosnia and Herzegovina,3088.649,4,Ukraine,3577.554,6.2
1997,Bosnia and Herzegovina,3745.398,4,Ukraine,3553.328,6.2
1998,Bosnia and Herzegovina,4429.315,4,Ukraine,3557.193,6.2
1999,Bosnia and Herzegovina,4885.589,4,Ukraine,3635.86,6.2
2000,Bosnia and Herzegovina,5141.396,4,Ukraine,3975.704,6.2
2001,Bosnia and Herzegovina,5358.694,4,Ukraine,4480.447,6.2
2002,Bosnia and Herzegovina,5671.112,4,Ukraine,4834.009,6.2
2003,Bosnia and Herzegovina,5960.29,4,Ukraine,5442.968,6.2
2004,Bosnia and Herzegovina,6456.396,4,Ukraine,6297.662,6.2
2005,Bosnia and Herzegovina,6891.944,4,Ukraine,6750.262,6.2
2006,Bosnia and Herzegovina,7507.576,4,Ukraine,7530.139,6.2
2007,Bosnia and Herzegovina,8174.838,4,Ukraine,8415.153,6.2
2008,Bosnia and Herzegovina,8813.826,4,Ukraine,8816.413,6.2
2009,Bosnia and Herzegovina,8823.552,4,Ukraine,7568.509,6.2
2010,Bosnia and Herzegovina,9016.51,4,Ukraine,7712.059,6.2
2011,Bosnia and Herzegovina,9302.659,4,Ukraine,8327.929,6.2
2012,Bosnia and Herzegovina,9400.895,4,Ukraine,8516.684,6.2
2013,Bosnia and Herzegovina,9798.346,4,Ukraine,9151.217,6.2
